,0,1,2,3,4,5
0,"[10, 50]",0,1,0.5,10,1.0
1,"[10, 50]",0,1,0.8,10,0.9333333333333333
2,"[10, 50]",0,1,0.9,10,0.9333333333333333
3,"[100, 200]",0,1,0.5,10,1.0
4,"[100, 200]",0,1,0.8,10,1.0
5,"[100, 200]",0,1,0.9,10,1.0
6,"[50, 200]",0,1,0.5,10,1.0
7,"[50, 200]",0,1,0.8,10,1.0
8,"[50, 200]",0,1,0.9,10,1.0
9,"[50, 10]",0,1,0.5,10,1.0
10,"[50, 10]",0,1,0.8,10,1.0
11,"[50, 10]",0,1,0.9,10,1.0
12,"[50, 100]",0,1,0.5,10,1.0
13,"[50, 100]",0,1,0.8,10,1.0
14,"[50, 100]",0,1,0.9,10,1.0
15,"[200, 10]",0,1,0.5,10,1.0
16,"[200, 10]",0,1,0.8,10,1.0
17,"[200, 10]",0,1,0.9,10,1.0
18,"[100, 10]",0,1,0.5,10,1.0
19,"[100, 10]",0,1,0.8,10,0.9333333333333333
20,"[100, 10]",0,1,0.9,10,0.9333333333333333
21,"[200, 100]",0,1,0.5,10,1.0
22,"[200, 100]",0,1,0.8,10,1.0
23,"[200, 100]",0,1,0.9,10,1.0
24,"[10, 200]",0,1,0.5,10,0.9411764705882353
25,"[10, 200]",0,1,0.8,10,0.9411764705882353
26,"[10, 200]",0,1,0.9,10,0.9411764705882353
27,"[10, 100]",0,1,0.5,10,1.0
28,"[10, 100]",0,1,0.8,10,1.0
29,"[10, 100]",0,1,0.9,10,1.0
30,"[200, 50]",0,1,0.5,10,1.0
31,"[200, 50]",0,1,0.8,10,1.0
32,"[200, 50]",0,1,0.9,10,1.0
33,"[100, 50]",0,1,0.5,10,1.0
34,"[100, 50]",0,1,0.8,10,0.9333333333333333
35,"[100, 50]",0,1,0.9,10,0.9333333333333333
36,"[10, 50]",0,1,0.5,25,1.0
37,"[10, 50]",0,1,0.8,25,0.9333333333333333
38,"[10, 50]",0,1,0.9,25,0.9333333333333333
39,"[100, 200]",0,1,0.5,25,1.0
40,"[100, 200]",0,1,0.8,25,1.0
41,"[100, 200]",0,1,0.9,25,1.0
42,"[50, 200]",0,1,0.5,25,1.0
43,"[50, 200]",0,1,0.8,25,1.0
44,"[50, 200]",0,1,0.9,25,1.0
45,"[50, 10]",0,1,0.5,25,1.0
46,"[50, 10]",0,1,0.8,25,1.0
47,"[50, 10]",0,1,0.9,25,1.0
48,"[50, 100]",0,1,0.5,25,1.0
49,"[50, 100]",0,1,0.8,25,1.0
50,"[50, 100]",0,1,0.9,25,1.0
51,"[200, 10]",0,1,0.5,25,1.0
52,"[200, 10]",0,1,0.8,25,0.9333333333333333
53,"[200, 10]",0,1,0.9,25,0.9333333333333333
54,"[100, 10]",0,1,0.5,25,1.0
55,"[100, 10]",0,1,0.8,25,1.0
56,"[100, 10]",0,1,0.9,25,0.9333333333333333
57,"[200, 100]",0,1,0.5,25,1.0
58,"[200, 100]",0,1,0.8,25,1.0
59,"[200, 100]",0,1,0.9,25,0.9333333333333333
60,"[10, 200]",0,1,0.5,25,1.0
61,"[10, 200]",0,1,0.8,25,1.0
62,"[10, 200]",0,1,0.9,25,1.0
63,"[10, 100]",0,1,0.5,25,1.0
64,"[10, 100]",0,1,0.8,25,1.0
65,"[10, 100]",0,1,0.9,25,1.0
66,"[200, 50]",0,1,0.5,25,1.0
67,"[200, 50]",0,1,0.8,25,1.0
68,"[200, 50]",0,1,0.9,25,1.0
69,"[100, 50]",0,1,0.5,25,1.0
70,"[100, 50]",0,1,0.8,25,0.9333333333333333
71,"[100, 50]",0,1,0.9,25,0.9333333333333333
72,"[10, 50]",0,1,0.5,50,1.0
73,"[10, 50]",0,1,0.8,50,0.9333333333333333
74,"[10, 50]",0,1,0.9,50,0.9333333333333333
75,"[100, 200]",0,1,0.5,50,1.0
76,"[100, 200]",0,1,0.8,50,1.0
77,"[100, 200]",0,1,0.9,50,1.0
78,"[50, 200]",0,1,0.5,50,1.0
79,"[50, 200]",0,1,0.8,50,1.0
80,"[50, 200]",0,1,0.9,50,1.0
81,"[50, 10]",0,1,0.5,50,1.0
82,"[50, 10]",0,1,0.8,50,1.0
83,"[50, 10]",0,1,0.9,50,1.0
84,"[50, 100]",0,1,0.5,50,1.0
85,"[50, 100]",0,1,0.8,50,1.0
86,"[50, 100]",0,1,0.9,50,1.0
87,"[200, 10]",0,1,0.5,50,1.0
88,"[200, 10]",0,1,0.8,50,0.9333333333333333
89,"[200, 10]",0,1,0.9,50,0.9333333333333333
90,"[100, 10]",0,1,0.5,50,1.0
91,"[100, 10]",0,1,0.8,50,1.0
92,"[100, 10]",0,1,0.9,50,1.0
93,"[200, 100]",0,1,0.5,50,1.0
94,"[200, 100]",0,1,0.8,50,1.0
95,"[200, 100]",0,1,0.9,50,1.0
96,"[10, 200]",0,1,0.5,50,1.0
97,"[10, 200]",0,1,0.8,50,1.0
98,"[10, 200]",0,1,0.9,50,1.0
99,"[10, 100]",0,1,0.5,50,1.0
100,"[10, 100]",0,1,0.8,50,1.0
101,"[10, 100]",0,1,0.9,50,1.0
102,"[200, 50]",0,1,0.5,50,1.0
103,"[200, 50]",0,1,0.8,50,1.0
104,"[200, 50]",0,1,0.9,50,1.0
105,"[100, 50]",0,1,0.5,50,1.0
106,"[100, 50]",0,1,0.8,50,1.0
107,"[100, 50]",0,1,0.9,50,0.9333333333333333
108,"[10, 50]",2,3,0.5,10,1.0
109,"[10, 50]",2,3,0.8,10,0.8571428571428571
110,"[10, 50]",2,3,0.9,10,0.8571428571428571
111,"[100, 200]",2,3,0.5,10,1.0
112,"[100, 200]",2,3,0.8,10,1.0
113,"[100, 200]",2,3,0.9,10,1.0
114,"[50, 200]",2,3,0.5,10,1.0
115,"[50, 200]",2,3,0.8,10,1.0
116,"[50, 200]",2,3,0.9,10,1.0
117,"[50, 10]",2,3,0.5,10,1.0
118,"[50, 10]",2,3,0.8,10,0.9333333333333333
119,"[50, 10]",2,3,0.9,10,0.7692307692307693
120,"[50, 100]",2,3,0.5,10,1.0
121,"[50, 100]",2,3,0.8,10,1.0
122,"[50, 100]",2,3,0.9,10,1.0
123,"[200, 10]",2,3,0.5,10,1.0
124,"[200, 10]",2,3,0.8,10,1.0
125,"[200, 10]",2,3,0.9,10,1.0
126,"[100, 10]",2,3,0.5,10,0.9333333333333333
127,"[100, 10]",2,3,0.8,10,0.9333333333333333
128,"[100, 10]",2,3,0.9,10,0.9333333333333333
129,"[200, 100]",2,3,0.5,10,1.0
130,"[200, 100]",2,3,0.8,10,1.0
131,"[200, 100]",2,3,0.9,10,1.0
132,"[10, 200]",2,3,0.5,10,1.0
133,"[10, 200]",2,3,0.8,10,1.0
134,"[10, 200]",2,3,0.9,10,1.0
135,"[10, 100]",2,3,0.5,10,1.0
136,"[10, 100]",2,3,0.8,10,1.0
137,"[10, 100]",2,3,0.9,10,1.0
138,"[200, 50]",2,3,0.5,10,1.0
139,"[200, 50]",2,3,0.8,10,1.0
140,"[200, 50]",2,3,0.9,10,1.0
141,"[100, 50]",2,3,0.5,10,1.0
142,"[100, 50]",2,3,0.8,10,1.0
143,"[100, 50]",2,3,0.9,10,1.0
144,"[10, 50]",2,3,0.5,25,1.0
145,"[10, 50]",2,3,0.8,25,0.8571428571428571
146,"[10, 50]",2,3,0.9,25,0.8571428571428571
147,"[100, 200]",2,3,0.5,25,1.0
148,"[100, 200]",2,3,0.8,25,1.0
149,"[100, 200]",2,3,0.9,25,1.0
150,"[50, 200]",2,3,0.5,25,1.0
151,"[50, 200]",2,3,0.8,25,1.0
152,"[50, 200]",2,3,0.9,25,1.0
153,"[50, 10]",2,3,0.5,25,1.0
154,"[50, 10]",2,3,0.8,25,0.9333333333333333
155,"[50, 10]",2,3,0.9,25,0.9333333333333333
156,"[50, 100]",2,3,0.5,25,1.0
157,"[50, 100]",2,3,0.8,25,1.0
158,"[50, 100]",2,3,0.9,25,1.0
159,"[200, 10]",2,3,0.5,25,1.0
160,"[200, 10]",2,3,0.8,25,1.0
161,"[200, 10]",2,3,0.9,25,1.0
162,"[100, 10]",2,3,0.5,25,0.9333333333333333
163,"[100, 10]",2,3,0.8,25,0.9333333333333333
164,"[100, 10]",2,3,0.9,25,0.9333333333333333
165,"[200, 100]",2,3,0.5,25,1.0
166,"[200, 100]",2,3,0.8,25,1.0
167,"[200, 100]",2,3,0.9,25,1.0
168,"[10, 200]",2,3,0.5,25,1.0
169,"[10, 200]",2,3,0.8,25,1.0
170,"[10, 200]",2,3,0.9,25,1.0
171,"[10, 100]",2,3,0.5,25,1.0
172,"[10, 100]",2,3,0.8,25,1.0
173,"[10, 100]",2,3,0.9,25,1.0
174,"[200, 50]",2,3,0.5,25,1.0
175,"[200, 50]",2,3,0.8,25,1.0
176,"[200, 50]",2,3,0.9,25,1.0
177,"[100, 50]",2,3,0.5,25,1.0
178,"[100, 50]",2,3,0.8,25,1.0
179,"[100, 50]",2,3,0.9,25,1.0
180,"[10, 50]",2,3,0.5,50,1.0
181,"[10, 50]",2,3,0.8,50,0.9333333333333333
182,"[10, 50]",2,3,0.9,50,0.8571428571428571
183,"[100, 200]",2,3,0.5,50,1.0
184,"[100, 200]",2,3,0.8,50,1.0
185,"[100, 200]",2,3,0.9,50,1.0
186,"[50, 200]",2,3,0.5,50,1.0
187,"[50, 200]",2,3,0.8,50,1.0
188,"[50, 200]",2,3,0.9,50,1.0
189,"[50, 10]",2,3,0.5,50,1.0
190,"[50, 10]",2,3,0.8,50,0.9333333333333333
191,"[50, 10]",2,3,0.9,50,0.9333333333333333
192,"[50, 100]",2,3,0.5,50,1.0
193,"[50, 100]",2,3,0.8,50,1.0
194,"[50, 100]",2,3,0.9,50,1.0
195,"[200, 10]",2,3,0.5,50,1.0
196,"[200, 10]",2,3,0.8,50,1.0
197,"[200, 10]",2,3,0.9,50,1.0
198,"[100, 10]",2,3,0.5,50,0.9333333333333333
199,"[100, 10]",2,3,0.8,50,0.9333333333333333
200,"[100, 10]",2,3,0.9,50,0.9333333333333333
201,"[200, 100]",2,3,0.5,50,1.0
202,"[200, 100]",2,3,0.8,50,1.0
203,"[200, 100]",2,3,0.9,50,1.0
204,"[10, 200]",2,3,0.5,50,1.0
205,"[10, 200]",2,3,0.8,50,1.0
206,"[10, 200]",2,3,0.9,50,1.0
207,"[10, 100]",2,3,0.5,50,1.0
208,"[10, 100]",2,3,0.8,50,1.0
209,"[10, 100]",2,3,0.9,50,1.0
210,"[200, 50]",2,3,0.5,50,1.0
211,"[200, 50]",2,3,0.8,50,1.0
212,"[200, 50]",2,3,0.9,50,1.0
213,"[100, 50]",2,3,0.5,50,1.0
214,"[100, 50]",2,3,0.8,50,1.0
215,"[100, 50]",2,3,0.9,50,1.0
216,"[10, 50]",0,1,0.5,10,1.0
217,"[10, 50]",0,1,0.8,10,1.0
218,"[10, 50]",0,1,0.9,10,0.9333333333333333
219,"[100, 200]",0,1,0.5,10,1.0
220,"[100, 200]",0,1,0.8,10,1.0
221,"[100, 200]",0,1,0.9,10,1.0
222,"[50, 200]",0,1,0.5,10,1.0
223,"[50, 200]",0,1,0.8,10,1.0
224,"[50, 200]",0,1,0.9,10,1.0
225,"[50, 10]",0,1,0.5,10,1.0
226,"[50, 10]",0,1,0.8,10,1.0
227,"[50, 10]",0,1,0.9,10,1.0
228,"[50, 100]",0,1,0.5,10,1.0
229,"[50, 100]",0,1,0.8,10,1.0
230,"[50, 100]",0,1,0.9,10,1.0
231,"[200, 10]",0,1,0.5,10,1.0
232,"[200, 10]",0,1,0.8,10,0.9333333333333333
233,"[200, 10]",0,1,0.9,10,0.9333333333333333
234,"[100, 10]",0,1,0.5,10,1.0
235,"[100, 10]",0,1,0.8,10,1.0
236,"[100, 10]",0,1,0.9,10,1.0
237,"[200, 100]",0,1,0.5,10,1.0
238,"[200, 100]",0,1,0.8,10,1.0
239,"[200, 100]",0,1,0.9,10,1.0
240,"[10, 200]",0,1,0.5,10,1.0
241,"[10, 200]",0,1,0.8,10,1.0
242,"[10, 200]",0,1,0.9,10,1.0
243,"[10, 100]",0,1,0.5,10,1.0
244,"[10, 100]",0,1,0.8,10,1.0
245,"[10, 100]",0,1,0.9,10,1.0
246,"[200, 50]",0,1,0.5,10,1.0
247,"[200, 50]",0,1,0.8,10,1.0
248,"[200, 50]",0,1,0.9,10,1.0
249,"[100, 50]",0,1,0.5,10,1.0
250,"[100, 50]",0,1,0.8,10,1.0
251,"[100, 50]",0,1,0.9,10,0.9333333333333333
252,"[10, 100, 50]",0,1,0.5,10,1.0
253,"[10, 100, 50]",0,1,0.8,10,1.0
254,"[10, 100, 50]",0,1,0.9,10,1.0
255,"[200, 10, 100]",0,1,0.5,10,1.0
256,"[200, 10, 100]",0,1,0.8,10,1.0
257,"[200, 10, 100]",0,1,0.9,10,1.0
258,"[50, 10, 100]",0,1,0.5,10,1.0
259,"[50, 10, 100]",0,1,0.8,10,1.0
260,"[50, 10, 100]",0,1,0.9,10,1.0
261,"[10, 200, 100]",0,1,0.5,10,1.0
262,"[10, 200, 100]",0,1,0.8,10,1.0
263,"[10, 200, 100]",0,1,0.9,10,1.0
264,"[100, 10, 200]",0,1,0.5,10,1.0
265,"[100, 10, 200]",0,1,0.8,10,1.0
266,"[100, 10, 200]",0,1,0.9,10,1.0
267,"[100, 200, 50]",0,1,0.5,10,1.0
268,"[100, 200, 50]",0,1,0.8,10,1.0
269,"[100, 200, 50]",0,1,0.9,10,1.0
270,"[100, 50, 10]",0,1,0.5,10,1.0
271,"[100, 50, 10]",0,1,0.8,10,1.0
272,"[100, 50, 10]",0,1,0.9,10,1.0
273,"[200, 50, 10]",0,1,0.5,10,1.0
274,"[200, 50, 10]",0,1,0.8,10,1.0
275,"[200, 50, 10]",0,1,0.9,10,0.9333333333333333
276,"[50, 10, 200]",0,1,0.5,10,1.0
277,"[50, 10, 200]",0,1,0.8,10,1.0
278,"[50, 10, 200]",0,1,0.9,10,1.0
279,"[50, 200, 10]",0,1,0.5,10,1.0
280,"[50, 200, 10]",0,1,0.8,10,1.0
281,"[50, 200, 10]",0,1,0.9,10,1.0
282,"[100, 200, 10]",0,1,0.5,10,1.0
283,"[100, 200, 10]",0,1,0.8,10,0.9333333333333333
284,"[100, 200, 10]",0,1,0.9,10,0.9333333333333333
285,"[10, 50, 100]",0,1,0.5,10,1.0
286,"[10, 50, 100]",0,1,0.8,10,1.0
287,"[10, 50, 100]",0,1,0.9,10,1.0
288,"[100, 10, 50]",0,1,0.5,10,0.9411764705882353
289,"[100, 10, 50]",0,1,0.8,10,0.9411764705882353
290,"[100, 10, 50]",0,1,0.9,10,0.9411764705882353
291,"[200, 10, 50]",0,1,0.5,10,0.9411764705882353
292,"[200, 10, 50]",0,1,0.8,10,0.875
293,"[200, 10, 50]",0,1,0.9,10,0.9333333333333333
294,"[200, 100, 50]",0,1,0.5,10,0.9411764705882353
295,"[200, 100, 50]",0,1,0.8,10,0.9333333333333333
296,"[200, 100, 50]",0,1,0.9,10,0.9333333333333333
297,"[50, 100, 200]",0,1,0.5,10,1.0
298,"[50, 100, 200]",0,1,0.8,10,1.0
299,"[50, 100, 200]",0,1,0.9,10,1.0
300,"[10, 200, 50]",0,1,0.5,10,1.0
301,"[10, 200, 50]",0,1,0.8,10,1.0
302,"[10, 200, 50]",0,1,0.9,10,1.0
303,"[200, 100, 10]",0,1,0.5,10,0.9333333333333333
304,"[200, 100, 10]",0,1,0.8,10,0.9333333333333333
305,"[200, 100, 10]",0,1,0.9,10,0.9333333333333333
306,"[10, 50, 200]",0,1,0.5,10,1.0
307,"[10, 50, 200]",0,1,0.8,10,1.0
308,"[10, 50, 200]",0,1,0.9,10,1.0
309,"[50, 100, 10]",0,1,0.5,10,0.9411764705882353
310,"[50, 100, 10]",0,1,0.8,10,1.0
311,"[50, 100, 10]",0,1,0.9,10,0.9333333333333333
312,"[200, 50, 100]",0,1,0.5,10,1.0
313,"[200, 50, 100]",0,1,0.8,10,1.0
314,"[200, 50, 100]",0,1,0.9,10,1.0
315,"[50, 200, 100]",0,1,0.5,10,1.0
316,"[50, 200, 100]",0,1,0.8,10,1.0
317,"[50, 200, 100]",0,1,0.9,10,1.0
318,"[10, 100, 200]",0,1,0.5,10,0.9333333333333333
319,"[10, 100, 200]",0,1,0.8,10,0.9333333333333333
320,"[10, 100, 200]",0,1,0.9,10,0.9333333333333333
321,"[100, 50, 200]",0,1,0.5,10,0.9411764705882353
322,"[100, 50, 200]",0,1,0.8,10,0.8571428571428571
323,"[100, 50, 200]",0,1,0.9,10,0.8571428571428571
324,"[10, 50]",0,1,0.5,25,1.0
325,"[10, 50]",0,1,0.8,25,1.0
326,"[10, 50]",0,1,0.9,25,0.9333333333333333
327,"[100, 200]",0,1,0.5,25,1.0
328,"[100, 200]",0,1,0.8,25,1.0
329,"[100, 200]",0,1,0.9,25,1.0
330,"[50, 200]",0,1,0.5,25,1.0
331,"[50, 200]",0,1,0.8,25,1.0
332,"[50, 200]",0,1,0.9,25,1.0
333,"[50, 10]",0,1,0.5,25,1.0
334,"[50, 10]",0,1,0.8,25,1.0
335,"[50, 10]",0,1,0.9,25,1.0
336,"[50, 100]",0,1,0.5,25,1.0
337,"[50, 100]",0,1,0.8,25,1.0
338,"[50, 100]",0,1,0.9,25,1.0
339,"[200, 10]",0,1,0.5,25,1.0
340,"[200, 10]",0,1,0.8,25,0.9333333333333333
341,"[200, 10]",0,1,0.9,25,0.9333333333333333
342,"[100, 10]",0,1,0.5,25,1.0
343,"[100, 10]",0,1,0.8,25,1.0
344,"[100, 10]",0,1,0.9,25,1.0
345,"[200, 100]",0,1,0.5,25,1.0
346,"[200, 100]",0,1,0.8,25,1.0
347,"[200, 100]",0,1,0.9,25,1.0
348,"[10, 200]",0,1,0.5,25,1.0
349,"[10, 200]",0,1,0.8,25,1.0
350,"[10, 200]",0,1,0.9,25,1.0
351,"[10, 100]",0,1,0.5,25,1.0
352,"[10, 100]",0,1,0.8,25,1.0
353,"[10, 100]",0,1,0.9,25,1.0
354,"[200, 50]",0,1,0.5,25,1.0
355,"[200, 50]",0,1,0.8,25,1.0
356,"[200, 50]",0,1,0.9,25,1.0
357,"[100, 50]",0,1,0.5,25,1.0
358,"[100, 50]",0,1,0.8,25,1.0
359,"[100, 50]",0,1,0.9,25,0.9333333333333333
360,"[10, 100, 50]",0,1,0.5,25,1.0
361,"[10, 100, 50]",0,1,0.8,25,1.0
362,"[10, 100, 50]",0,1,0.9,25,1.0
363,"[200, 10, 100]",0,1,0.5,25,1.0
364,"[200, 10, 100]",0,1,0.8,25,1.0
365,"[200, 10, 100]",0,1,0.9,25,1.0
366,"[50, 10, 100]",0,1,0.5,25,1.0
367,"[50, 10, 100]",0,1,0.8,25,1.0
368,"[50, 10, 100]",0,1,0.9,25,1.0
369,"[10, 200, 100]",0,1,0.5,25,1.0
370,"[10, 200, 100]",0,1,0.8,25,1.0
371,"[10, 200, 100]",0,1,0.9,25,1.0
372,"[100, 10, 200]",0,1,0.5,25,1.0
373,"[100, 10, 200]",0,1,0.8,25,1.0
374,"[100, 10, 200]",0,1,0.9,25,1.0
375,"[100, 200, 50]",0,1,0.5,25,1.0
376,"[100, 200, 50]",0,1,0.8,25,1.0
377,"[100, 200, 50]",0,1,0.9,25,1.0
378,"[100, 50, 10]",0,1,0.5,25,1.0
379,"[100, 50, 10]",0,1,0.8,25,1.0
380,"[100, 50, 10]",0,1,0.9,25,1.0
381,"[200, 50, 10]",0,1,0.5,25,1.0
382,"[200, 50, 10]",0,1,0.8,25,1.0
383,"[200, 50, 10]",0,1,0.9,25,1.0
384,"[50, 10, 200]",0,1,0.5,25,1.0
385,"[50, 10, 200]",0,1,0.8,25,1.0
386,"[50, 10, 200]",0,1,0.9,25,1.0
387,"[50, 200, 10]",0,1,0.5,25,1.0
388,"[50, 200, 10]",0,1,0.8,25,1.0
389,"[50, 200, 10]",0,1,0.9,25,1.0
390,"[100, 200, 10]",0,1,0.5,25,1.0
391,"[100, 200, 10]",0,1,0.8,25,0.9333333333333333
392,"[100, 200, 10]",0,1,0.9,25,0.9333333333333333
