,0,1,2,3,4
0,"[10, 50]",0,1,10,0.543199711697812
1,"[100, 200]",0,1,10,0.8233937673897781
2,"[50, 200]",0,1,10,0.6973800826052263
3,"[50, 10]",0,1,10,0.6155441391891529
4,"[50, 100]",0,1,10,0.346560448167758
5,"[200, 10]",0,1,10,0.5158084464160252
6,"[100, 10]",0,1,10,0.7708684835940895
7,"[200, 100]",0,1,10,0.6324193646690535
8,"[10, 200]",0,1,10,0.6304337141178873
9,"[10, 100]",0,1,10,0.3425816516462882
10,"[200, 50]",0,1,10,0.6432015526238053
11,"[100, 50]",0,1,10,0.6599866845985297
12,"[10, 50]",0,1,25,0.4536793783574241
13,"[100, 200]",0,1,25,0.4460010246157834
14,"[50, 200]",0,1,25,0.5555440440726519
15,"[50, 10]",0,1,25,0.7615650328797947
16,"[50, 100]",0,1,25,0.5625851558252043
17,"[200, 10]",0,1,25,0.41038280533467664
18,"[100, 10]",0,1,25,0.6974136205965649
19,"[200, 100]",0,1,25,0.5107336528772143
20,"[10, 200]",0,1,25,0.7338749138203509
21,"[10, 100]",0,1,25,0.3719713426964645
22,"[200, 50]",0,1,25,0.4871375875360696
23,"[100, 50]",0,1,25,0.31335139532253226
24,"[10, 50]",0,1,50,0.6186140717252897
25,"[100, 200]",0,1,50,0.5208749257456045
26,"[50, 200]",0,1,50,0.736122438788476
27,"[50, 10]",0,1,50,0.7469541564878599
28,"[50, 100]",0,1,50,0.48495272955320234
29,"[200, 10]",0,1,50,0.5604022625606152
30,"[100, 10]",0,1,50,0.561303611506045
31,"[200, 100]",0,1,50,0.5790052313802229
32,"[10, 200]",0,1,50,0.7500671567554097
33,"[10, 100]",0,1,50,0.4183385526575534
34,"[200, 50]",0,1,50,0.7640280312623907
35,"[100, 50]",0,1,50,0.524792907999561
36,"[10, 50]",2,3,10,0.645471645575071
37,"[100, 200]",2,3,10,0.8446392996880773
38,"[50, 200]",2,3,10,0.7318156688540518
39,"[50, 10]",2,3,10,0.39113208709921243
40,"[50, 100]",2,3,10,0.6312165359044056
41,"[200, 10]",2,3,10,0.8317488833993458
42,"[100, 10]",2,3,10,0.8507226295648662
43,"[200, 100]",2,3,10,0.700843624527547
44,"[10, 200]",2,3,10,0.5779683426912681
45,"[10, 100]",2,3,10,0.38663881758457497
46,"[200, 50]",2,3,10,0.5394564107086102
47,"[100, 50]",2,3,10,0.6156116522366523
48,"[10, 50]",2,3,25,0.6897379028818026
49,"[100, 200]",2,3,25,0.839861374951391
50,"[50, 200]",2,3,25,0.511688115617887
51,"[50, 10]",2,3,25,0.5259737550692378
52,"[50, 100]",2,3,25,0.7811019944174609
53,"[200, 10]",2,3,25,0.6915158264124416
54,"[100, 10]",2,3,25,0.8388935715469641
55,"[200, 100]",2,3,25,0.7543943403675353
56,"[10, 200]",2,3,25,0.43573383296569845
57,"[10, 100]",2,3,25,0.3851747128965788
58,"[200, 50]",2,3,25,0.6419908002834968
59,"[100, 50]",2,3,25,0.6291705500003607
60,"[10, 50]",2,3,50,0.40654481585946334
61,"[100, 200]",2,3,50,0.8395961054561054
62,"[50, 200]",2,3,50,0.47820171521989574
63,"[50, 10]",2,3,50,0.4724201795933698
64,"[50, 100]",2,3,50,0.6289203351775465
65,"[200, 10]",2,3,50,0.7667622371601788
66,"[100, 10]",2,3,50,0.8456101724280749
67,"[200, 100]",2,3,50,0.6933246659361172
68,"[10, 200]",2,3,50,0.4512346423961295
69,"[10, 100]",2,3,50,0.5167449558898095
70,"[200, 50]",2,3,50,0.3514985975459066
71,"[100, 50]",2,3,50,0.6241385663238784
72,"[10, 50]",0,1,10,0.5906072204808712
73,"[100, 200]",0,1,10,0.5297943558758655
74,"[50, 200]",0,1,10,0.5519082756244449
75,"[50, 10]",0,1,10,0.6712782979178867
76,"[50, 100]",0,1,10,0.4119855880200416
77,"[200, 10]",0,1,10,0.465411981201924
78,"[100, 10]",0,1,10,0.28650260176989994
79,"[200, 100]",0,1,10,0.4979196021628814
80,"[10, 200]",0,1,10,0.7697493730726727
81,"[10, 100]",0,1,10,0.38174397760999046
82,"[200, 50]",0,1,10,0.7486424542050427
83,"[100, 50]",0,1,10,0.5349165120593692
84,"[10, 100, 50]",0,1,10,0.7831358670646358
85,"[200, 10, 100]",0,1,10,0.5126262704301626
86,"[50, 10, 100]",0,1,10,0.5824936811857505
87,"[10, 200, 100]",0,1,10,0.8346460465028253
88,"[100, 10, 200]",0,1,10,0.39060674632737935
89,"[100, 200, 50]",0,1,10,0.7075282987497007
90,"[100, 50, 10]",0,1,10,0.706031158046793
91,"[200, 50, 10]",0,1,10,0.828125705189137
92,"[50, 10, 200]",0,1,10,0.40706662900022755
93,"[50, 200, 10]",0,1,10,0.8101758344907679
94,"[100, 200, 10]",0,1,10,0.6868845191268464
95,"[10, 50, 100]",0,1,10,0.8388226630721063
96,"[100, 10, 50]",0,1,10,0.5107990906824024
97,"[200, 10, 50]",0,1,10,0.7810159752264312
98,"[200, 100, 50]",0,1,10,0.5799898987501284
99,"[50, 100, 200]",0,1,10,0.6299603891030789
100,"[10, 200, 50]",0,1,10,0.7274204770582159
101,"[200, 100, 10]",0,1,10,0.7773118854829381
102,"[10, 50, 200]",0,1,10,0.6557355309273468
103,"[50, 100, 10]",0,1,10,0.7711123868899998
104,"[200, 50, 100]",0,1,10,0.8435811018890697
105,"[50, 200, 100]",0,1,10,0.6847536363645178
106,"[10, 100, 200]",0,1,10,0.8358913911398522
107,"[100, 50, 200]",0,1,10,0.6433834695967626
108,"[10, 50]",0,1,25,0.6963528468374216
109,"[100, 200]",0,1,25,0.381448850394445
110,"[50, 200]",0,1,25,0.5920882460097877
111,"[50, 10]",0,1,25,0.47158031371562675
112,"[50, 100]",0,1,25,0.4119855880200416
113,"[200, 10]",0,1,25,0.5208433409275206
114,"[100, 10]",0,1,25,0.4501547562459556
115,"[200, 100]",0,1,25,0.4686515632842569
