,0,1,2,3,4,5
0,"[10, 50]",0,1,0.5,10,0.888888888888889
1,"[10, 50]",0,1,0.8,10,0.888888888888889
2,"[10, 50]",0,1,0.9,10,0.875
3,"[100, 200]",0,1,0.5,10,0.823529411764706
4,"[100, 200]",0,1,0.8,10,0.823529411764706
5,"[100, 200]",0,1,0.9,10,0.823529411764706
6,"[50, 200]",0,1,0.5,10,0.6666666666666667
7,"[50, 200]",0,1,0.8,10,0.7000000000000001
8,"[50, 200]",0,1,0.9,10,0.7000000000000001
9,"[50, 10]",0,1,0.5,10,0.8421052631578948
10,"[50, 10]",0,1,0.8,10,0.823529411764706
11,"[50, 10]",0,1,0.9,10,0.823529411764706
12,"[50, 100]",0,1,0.5,10,0.7368421052631579
13,"[50, 100]",0,1,0.8,10,0.875
14,"[50, 100]",0,1,0.9,10,0.875
15,"[200, 10]",0,1,0.5,10,0.888888888888889
16,"[200, 10]",0,1,0.8,10,0.7142857142857143
17,"[200, 10]",0,1,0.9,10,0.7142857142857143
18,"[100, 10]",0,1,0.5,10,0.875
19,"[100, 10]",0,1,0.8,10,0.7999999999999999
20,"[100, 10]",0,1,0.9,10,0.7999999999999999
21,"[200, 100]",0,1,0.5,10,0.7692307692307693
22,"[200, 100]",0,1,0.8,10,0.7692307692307693
23,"[200, 100]",0,1,0.9,10,0.7692307692307693
24,"[10, 200]",0,1,0.5,10,0.7777777777777777
25,"[10, 200]",0,1,0.8,10,0.7777777777777777
26,"[10, 200]",0,1,0.9,10,0.7777777777777777
27,"[10, 100]",0,1,0.5,10,0.7999999999999999
28,"[10, 100]",0,1,0.8,10,0.7999999999999999
29,"[10, 100]",0,1,0.9,10,0.6666666666666666
30,"[200, 50]",0,1,0.5,10,0.823529411764706
31,"[200, 50]",0,1,0.8,10,0.875
32,"[200, 50]",0,1,0.9,10,0.875
33,"[100, 50]",0,1,0.5,10,0.7777777777777777
34,"[100, 50]",0,1,0.8,10,0.7999999999999999
35,"[100, 50]",0,1,0.9,10,0.8571428571428571
36,"[10, 50]",0,1,0.5,25,0.9411764705882353
37,"[10, 50]",0,1,0.8,25,0.9411764705882353
38,"[10, 50]",0,1,0.9,25,0.9411764705882353
39,"[100, 200]",0,1,0.5,25,0.7777777777777777
40,"[100, 200]",0,1,0.8,25,0.7777777777777777
41,"[100, 200]",0,1,0.9,25,0.7777777777777777
42,"[50, 200]",0,1,0.5,25,0.7999999999999999
43,"[50, 200]",0,1,0.8,25,0.7142857142857143
44,"[50, 200]",0,1,0.9,25,0.7142857142857143
45,"[50, 10]",0,1,0.5,25,0.823529411764706
46,"[50, 10]",0,1,0.8,25,0.823529411764706
47,"[50, 10]",0,1,0.9,25,0.823529411764706
48,"[50, 100]",0,1,0.5,25,0.7999999999999999
49,"[50, 100]",0,1,0.8,25,0.8571428571428571
50,"[50, 100]",0,1,0.9,25,0.8571428571428571
51,"[200, 10]",0,1,0.5,25,0.875
52,"[200, 10]",0,1,0.8,25,0.7999999999999999
53,"[200, 10]",0,1,0.9,25,0.7999999999999999
54,"[100, 10]",0,1,0.5,25,0.823529411764706
55,"[100, 10]",0,1,0.8,25,0.823529411764706
56,"[100, 10]",0,1,0.9,25,0.7999999999999999
57,"[200, 100]",0,1,0.5,25,0.7142857142857143
58,"[200, 100]",0,1,0.8,25,0.7142857142857143
59,"[200, 100]",0,1,0.9,25,0.7142857142857143
60,"[10, 200]",0,1,0.5,25,0.7142857142857143
61,"[10, 200]",0,1,0.8,25,0.7142857142857143
62,"[10, 200]",0,1,0.9,25,0.7142857142857143
63,"[10, 100]",0,1,0.5,25,0.7999999999999999
64,"[10, 100]",0,1,0.8,25,0.7999999999999999
65,"[10, 100]",0,1,0.9,25,0.7999999999999999
66,"[200, 50]",0,1,0.5,25,0.875
67,"[200, 50]",0,1,0.8,25,0.875
68,"[200, 50]",0,1,0.9,25,0.875
69,"[100, 50]",0,1,0.5,25,0.7368421052631579
70,"[100, 50]",0,1,0.8,25,0.7777777777777777
71,"[100, 50]",0,1,0.9,25,0.875
72,"[10, 50]",0,1,0.5,50,0.9411764705882353
73,"[10, 50]",0,1,0.8,50,0.9411764705882353
74,"[10, 50]",0,1,0.9,50,0.9411764705882353
75,"[100, 200]",0,1,0.5,50,0.823529411764706
76,"[100, 200]",0,1,0.8,50,0.823529411764706
77,"[100, 200]",0,1,0.9,50,0.875
78,"[50, 200]",0,1,0.5,50,0.6666666666666666
79,"[50, 200]",0,1,0.8,50,0.6666666666666666
80,"[50, 200]",0,1,0.9,50,0.6666666666666666
81,"[50, 10]",0,1,0.5,50,0.888888888888889
82,"[50, 10]",0,1,0.8,50,0.888888888888889
83,"[50, 10]",0,1,0.9,50,0.875
84,"[50, 100]",0,1,0.5,50,0.7058823529411765
85,"[50, 100]",0,1,0.8,50,0.7058823529411765
86,"[50, 100]",0,1,0.9,50,0.7058823529411765
87,"[200, 10]",0,1,0.5,50,0.875
88,"[200, 10]",0,1,0.8,50,0.7142857142857143
89,"[200, 10]",0,1,0.9,50,0.6153846153846154
90,"[100, 10]",0,1,0.5,50,0.875
91,"[100, 10]",0,1,0.8,50,0.875
92,"[100, 10]",0,1,0.9,50,0.875
93,"[200, 100]",0,1,0.5,50,0.7999999999999999
94,"[200, 100]",0,1,0.8,50,0.7999999999999999
95,"[200, 100]",0,1,0.9,50,0.7999999999999999
96,"[10, 200]",0,1,0.5,50,0.875
